,tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,food_dry,food_wet,food_other,study_site,age_years
0,Tommy-Tag,Tommy,Felis catus,2017-06-03T01:02:09Z,2017-06-10T02:10:52Z,True,12.5,Neutered,m,12.5,2,True,True,False,UK,11.0
1,Athena,Athena,Felis catus,2017-06-24T01:02:13Z,2017-06-30T23:59:32Z,True,3.0,Spayed,f,7.5,2,True,True,False,UK,3.0
2,Ares,Ares,Felis catus,2017-06-24T01:03:57Z,2017-06-30T23:58:01Z,,0.0,Neutered,m,7.5,2,True,True,False,UK,3.0
3,Lola,Lola,Felis catus,2017-06-24T01:18:49Z,2017-06-30T09:04:40Z,True,3.0,Spayed,f,17.5,1,True,True,False,UK,10.0
4,Maverick,Maverick,Felis catus,2017-06-25T01:04:35Z,2017-07-03T09:10:07Z,True,3.0,Neutered,m,12.5,1,True,True,True,UK,7.0
5,Coco,Coco,Felis catus,2017-06-28T01:02:22Z,2017-07-05T06:50:04Z,True,3.0,Spayed,f,12.5,2,True,True,True,UK,7.0
6,Charlie,Charlie,Felis catus,2017-06-28T01:03:33Z,2017-07-04T07:08:31Z,True,3.0,Neutered,m,12.5,3,True,True,False,UK,6.0
7,Jago,Jago,Felis catus,2017-06-28T04:10:59Z,2017-07-04T02:50:05Z,True,17.5,Neutered,m,7.5,4,True,True,True,UK,2.0
8,Morpheus-Tag,Morpheus,Felis catus,2017-07-01T01:02:18Z,2017-07-09T06:39:05Z,True,3.0,Neutered,m,2.5,2,True,False,,UK,4.0
9,Nettle-Tag,Nettle,Felis catus,2017-07-01T01:05:50Z,2017-07-08T00:05:12Z,True,7.5,Spayed,f,12.5,2,True,False,,UK,4.0
10,Meg-Tag,Meg,Felis catus,2017-07-02T01:02:43Z,2017-07-09T00:36:13Z,True,3.0,,f,12.5,1,True,True,True,UK,8.0
11,Friday,Friday,Felis catus,2017-07-02T07:28:08Z,2017-07-07T21:56:16Z,True,0.5,Neutered,m,7.5,1,True,False,True,UK,1.0
12,Carbonel-Tag,Carbonel,Felis catus,2017-07-07T01:01:46Z,2017-07-14T02:51:28Z,False,0.0,Neutered,m,17.5,1,True,False,False,UK,8.0
13,Fonzie-Tag,Fonzie,Felis catus,2017-07-08T01:02:02Z,2017-07-15T08:10:04Z,True,0.5,Neutered,m,12.5,2,True,True,,UK,10.0
14,Jessy-Tag,Jessy,Felis catus,2017-07-08T01:02:52Z,2017-07-08T13:12:54Z,True,3.0,Spayed,f,12.5,1,True,True,True,UK,11.0
15,Barney-Tag,Barney,Felis catus,2017-07-08T01:16:36Z,2017-07-15T07:20:01Z,True,0.5,Neutered,m,12.5,2,True,True,,UK,11.0
16,Sparky-Tag,Sparky,Felis catus,2017-07-08T02:36:48Z,2017-07-15T01:56:49Z,True,0.5,Spayed,f,7.5,4,True,True,False,UK,8.0
17,Indie-Tag,Indie,Felis catus,2017-07-09T01:03:00Z,2017-07-16T09:33:00Z,True,0.5,Neutered,m,17.5,2,True,False,False,UK,3.0
18,Whiskey-Tag,Whiskey,Felis catus,2017-07-09T01:04:12Z,2017-07-16T03:11:05Z,True,0.5,Neutered,m,17.5,1,True,True,True,UK,5.0
19,Rusty-Tag,Rusty,Felis catus,2017-07-09T02:19:00Z,2017-07-16T00:34:00Z,True,3.0,Neutered,m,17.5,1,True,False,,UK,4.0
20,Mifty-Tag,Mifty,Felis catus,2017-07-13T01:01:00Z,2017-07-20T00:31:00Z,True,12.5,Spayed,f,7.5,1,True,True,False,UK,2.0
21,Wilfred-Tag,Wilfred,Felis catus,2017-07-13T01:01:06Z,2017-07-20T01:19:06Z,,0.0,Neutered,m,7.5,1,True,False,False,UK,6.0
22,Johnny-Tag,Johnny,Felis catus,2017-07-13T01:02:09Z,2017-07-16T00:08:52Z,True,12.5,Neutered,m,7.5,1,True,True,False,UK,
23,Poppet-Tag,Poppet,Felis catus,2017-07-13T01:02:57Z,2017-07-19T20:52:53Z,True,3.0,Spayed,f,22.5,3,True,True,True,UK,10.0
24,Pussy-Tag,Pussy,Felis catus,2017-07-13T01:05:34Z,2017-07-20T16:06:52Z,True,3.0,Neutered,m,2.5,3,True,False,True,UK,2.0
25,Henry-Tag,Henry,Felis catus,2017-07-14T01:02:00Z,2017-07-21T00:04:00Z,False,0.0,Neutered,m,7.5,1,True,True,False,UK,8.0
26,Winnie-Tag,Winnie,Felis catus,2017-07-16T01:02:02Z,2017-07-23T00:11:53Z,True,3.0,Neutered,m,12.5,1,True,True,False,UK,12.0
27,Tom-Tag,Tom,Felis catus,2017-07-16T01:02:32Z,2017-07-24T04:47:12Z,True,12.5,Spayed,f,12.5,2,True,True,True,UK,3.0
28,Lady T-Tag,Lady T,Felis catus,2017-07-16T01:03:04Z,2017-07-23T15:06:46Z,True,3.0,Neutered,m,12.5,3,True,True,True,UK,2.0
29,Bella-Tag,Bella,Felis catus,2017-07-16T01:46:58Z,2017-07-24T05:18:52Z,True,7.5,Spayed,f,12.5,2,True,True,False,UK,3.0
30,Ladyboyhawke-Tag,Ladyboyhawke,Felis catus,2017-07-16T22:26:56Z,2017-07-22T01:36:51Z,True,3.0,Spayed,f,17.5,2,True,True,True,UK,5.0
31,Charlie2-Tag,Charlie2,Felis catus,2017-07-17T01:01:00Z,2017-07-23T00:05:00Z,True,3.0,Neutered,m,12.5,2,True,True,True,UK,9.0
32,Max-Tag,Max,Felis catus,2017-07-17T01:03:30Z,2017-07-23T05:19:13Z,True,3.0,Neutered,m,12.5,3,True,True,False,UK,5.0
33,Ebby-Tag,Ebby,Felis catus,2017-07-20T01:02:02Z,2017-07-27T00:05:31Z,True,3.0,Spayed,f,17.5,2,False,True,True,UK,10.0
34,Bear-Tag,Bear,Felis catus,2017-07-20T01:03:19Z,2017-07-27T04:17:28Z,True,3.0,Neutered,m,12.5,2,True,True,,UK,6.0
35,Bumbles-Tag,Bumbles,Felis catus,2017-07-20T03:06:34Z,2017-07-27T00:08:54Z,True,3.0,Spayed,f,12.5,2,False,True,True,UK,12.0
36,Chloe-Tag,Chloe,Felis catus,2017-07-20T03:29:22Z,2017-07-26T19:25:50Z,True,3.0,Spayed,f,17.5,2,True,True,,UK,7.0
37,Merlin-Tag,Merlin,Felis catus,2017-07-20T09:25:37Z,2017-07-27T00:24:39Z,True,7.5,Neutered,m,12.5,1,True,False,False,UK,5.0
38,Felix-Tag,Felix,Felis catus,2017-07-22T01:02:05Z,2017-07-26T00:50:28Z,True,3.0,Neutered,m,22.5,1,True,True,False,UK,4.0
39,Beanie-Tag,Beanie,Felis catus,2017-07-22T01:02:42Z,2017-07-29T09:52:37Z,False,0.0,Neutered,m,17.5,4,True,True,False,UK,4.0
40,Sid-Tag,Sid,Felis catus,2017-07-22T01:04:12Z,2017-07-29T10:23:55Z,True,17.5,Spayed,f,7.5,1,True,False,False,UK,4.0
41,Binky-Tag,Binky,Felis catus,2017-07-22T01:06:16Z,2017-07-28T15:28:57Z,False,0.0,Neutered,m,17.5,4,True,True,False,UK,4.0
42,Amber-Tag,Amber,Felis catus,2017-07-28T01:03:24Z,2017-08-04T00:07:52Z,True,3.0,,f,7.5,4,True,True,True,UK,4.0
43,Ernie-Tag,Ernie,Felis catus,2017-07-28T01:05:56Z,2017-08-04T02:03:41Z,True,3.0,Neutered,m,7.5,4,True,True,True,UK,1.0
44,Bits-Tag,Bits,Felis catus,2017-07-29T01:02:11Z,2017-07-31T00:44:00Z,True,3.0,Spayed,f,2.5,3,True,False,True,UK,13.0
45,Maxwell-Tag,Maxwell,Felis catus,2017-07-29T01:02:12Z,2017-08-08T03:58:11Z,True,17.5,Neutered,m,7.5,1,True,True,True,UK,6.0
46,Lightening Bugg-Tag,Lightening Bugg,Felis catus,2017-07-29T01:02:49Z,2017-08-03T03:57:58Z,,0.0,Neutered,m,12.5,2,True,False,False,UK,0.0
47,Bobs-Tag,Bobs,Felis catus,2017-07-29T05:36:35Z,2017-08-05T09:25:34Z,True,3.0,Spayed,f,7.5,3,True,False,True,UK,13.0
48,Carrots-Tag,Carrots,Felis catus,2017-08-25T01:01:32Z,2017-09-01T19:04:26Z,True,17.5,Neutered,m,7.5,4,True,True,False,UK,3.0
49,Smudge-Tag,Smudge,Felis catus,2017-08-25T01:01:47Z,2017-09-01T03:03:32Z,True,3.0,Neutered,m,7.5,1,True,True,True,UK,3.0
50,Magic-Tag,Magic,Felis catus,2017-08-25T01:02:00Z,2017-08-25T17:06:00Z,True,3.0,Spayed,f,12.5,3,True,False,False,UK,3.0
51,Spike-Tag,Spike,Felis catus,2017-08-25T01:02:29Z,2017-09-01T07:59:53Z,True,7.5,Neutered,m,12.5,1,True,False,True,UK,0.0
52,Dory-Tag,Dory,Felis catus,2017-08-25T01:03:23Z,2017-09-01T00:05:31Z,True,0.5,Not fixed,f,7.5,2,True,True,True,UK,1.0
53,Tigger-Tag,Tigger,Felis catus,2017-08-25T01:04:55Z,2017-09-01T01:46:12Z,True,0.5,Neutered,m,7.5,1,True,True,False,UK,3.0
54,Jago2-Tag,Jago2,Felis catus,2017-08-25T01:05:18Z,2017-09-01T18:46:54Z,False,0.0,Neutered,m,12.5,1,True,True,,UK,2.0
55,Frank-Tag,Frank,Felis catus,2017-08-25T01:05:44Z,2017-09-01T00:08:15Z,True,3.0,Neutered,m,7.5,1,True,True,True,UK,4.0
56,Skye-Tag,Skye,Felis catus,2017-08-25T01:22:22Z,2017-09-01T08:15:26Z,True,0.5,Neutered,m,12.5,4,True,True,False,UK,5.0
57,Jezebel-Tag,Jezebel,Felis catus,2017-08-25T01:50:01Z,2017-09-01T07:58:22Z,,0.0,Spayed,f,17.5,4,True,True,True,UK,14.0
58,Boots-Tag,Boots,Felis catus,2017-08-25T02:00:08Z,2017-08-31T04:48:28Z,False,0.0,Spayed,f,22.5,4,True,True,True,UK,16.0
59,Smudge_2-Tag,Smudge_2,Felis catus,2017-08-25T06:15:27Z,2017-09-01T06:45:20Z,True,0.5,Neutered,m,17.5,3,True,False,False,UK,7.0
60,Frank_2-Tag,Frank_2,Felis catus,2017-08-26T01:03:01Z,2017-09-02T08:21:37Z,False,0.0,Neutered,m,7.5,4,True,True,False,UK,7.0
61,Freya-Tag,Freya,Felis catus,2017-08-27T01:45:09Z,2017-09-03T02:08:49Z,True,0.5,Spayed,f,12.5,3,True,True,False,UK,4.0
62,Spot-Tag,Spot,Felis catus,2017-08-27T02:19:45Z,2017-09-02T06:37:17Z,True,17.5,Neutered,m,7.5,4,True,True,True,UK,2.0
63,Tipsy-Tag,Tipsy,Felis catus,2017-08-28T15:39:12Z,2017-09-04T09:49:38Z,,0.0,Spayed,f,17.5,1,True,False,False,UK,0.0
64,Flash-Tag,Flash,Felis catus,2017-08-28T23:51:55Z,2017-09-04T10:28:59Z,True,3.0,Spayed,f,17.5,2,True,True,True,UK,3.0
65,Gracie-Tag,Gracie,Felis catus,2017-09-07T05:02:00Z,2017-09-12T15:32:00Z,False,0.0,Spayed,f,22.5,1,True,False,False,UK,2.0
66,Teddy-Tag,Teddy,Felis catus,2017-09-10T01:46:42Z,2017-09-13T07:46:11Z,True,0.5,Spayed,f,12.5,3,True,True,False,UK,9.0
67,Marley-Tag,Marley,Felis catus,2017-09-10T11:02:26Z,2017-09-15T19:54:44Z,True,0.5,Neutered,m,7.5,1,True,True,False,UK,1.0
68,Guinness-Tag,Guinness,Felis catus,2017-09-13T18:02:02Z,2017-09-18T00:05:25Z,True,3.0,Neutered,m,17.5,1,True,True,True,UK,7.0
69,Reggie-Tag,Reggie,Felis catus,2017-09-17T01:02:50Z,2017-09-24T00:52:32Z,True,7.5,Spayed,f,12.5,3,True,True,True,UK,8.0
70,Jessie-Tag,Jessie,Felis catus,2017-09-17T01:04:18Z,2017-10-16T00:05:36Z,True,3.0,Spayed,f,7.5,1,True,True,False,UK,5.0
71,Roger-Tag,Roger,Felis catus,2017-09-17T01:05:12Z,2017-09-23T23:57:00Z,True,0.5,Neutered,m,17.5,2,True,True,,UK,6.0
72,Gracie_2-Tag,Gracie_2,Felis catus,2017-09-17T01:21:38Z,2017-09-22T16:15:14Z,True,0.5,Spayed,f,17.5,2,True,True,,UK,6.0
73,Dexter-Tag,Dexter,Felis catus,2017-09-17T01:34:47Z,2017-09-24T07:35:18Z,True,3.0,Neutered,m,12.5,1,True,True,False,UK,3.0
74,Tilly-Tag,Tilly,Felis catus,2017-09-17T02:53:42Z,2017-09-24T04:27:01Z,True,3.0,Spayed,f,12.5,3,True,False,False,UK,5.0
75,Balu-Tag,Balu,Felis catus,2017-09-18T01:03:13Z,2017-09-25T05:39:45Z,True,3.0,Spayed,f,2.5,1,True,False,True,UK,7.0
76,Missy-Tag,Missy,Felis catus,2017-09-18T06:57:14Z,2017-09-25T06:46:02Z,True,3.0,Spayed,f,7.5,2,True,True,False,UK,3.0
77,Dexter2-Tag,Dexter2,Felis catus,2017-09-23T17:31:52Z,2017-09-29T05:09:59Z,False,0.0,Neutered,m,2.5,1,True,True,False,UK,1.0
78,Fairclough-Tag,Fairclough,Felis catus,2017-09-24T01:02:32Z,2017-10-01T00:31:25Z,False,0.0,Neutered,m,17.5,2,True,True,False,UK,4.0
79,Keegan-Tag,Keegan,Felis catus,2017-09-24T01:03:02Z,2017-09-30T14:41:30Z,True,3.0,Not fixed,m,7.5,2,True,True,False,UK,3.0
80,Maggie-Tag,Maggie,Felis catus,2017-09-25T01:03:24Z,2017-10-02T17:22:57Z,,0.0,Spayed,f,22.5,2,True,False,False,UK,3.0
81,Lily-Tag,Lily,Felis catus,2017-09-25T01:03:54Z,2017-10-02T14:57:31Z,,0.0,Spayed,f,22.5,2,True,False,False,UK,9.0
82,Abba-Tag,Abba,Felis catus,2017-09-25T01:19:26Z,2017-10-02T11:04:58Z,True,3.0,Spayed,f,7.5,2,True,False,False,UK,3.0
83,Worf-Tag,Worf,Felis catus,2017-09-25T01:20:25Z,2017-09-30T13:12:47Z,True,7.5,Spayed,f,2.5,2,True,True,True,UK,8.0
84,Pants-Tag,Pants,Felis catus,2017-09-28T01:02:00Z,2017-10-03T10:45:33Z,,0.0,Neutered,m,12.5,3,True,False,True,UK,8.0
85,Jim-Tag,Jim,Felis catus,2017-09-28T01:02:04Z,2017-10-04T13:42:17Z,True,3.0,Spayed,f,12.5,3,True,False,True,UK,8.0
86,Lucy-Tag,Lucy,Felis catus,2017-09-29T00:01:13Z,2017-10-06T00:44:55Z,True,0.5,Spayed,f,17.5,1,True,True,True,UK,5.0
87,Macaulay Mccat-Tag,Macaulay Mccat,Felis catus,2017-09-29T07:01:28Z,2017-10-26T16:51:39Z,True,17.5,Spayed,f,2.5,2,True,True,False,UK,6.0
88,Neil-Tag,Neil,Felis catus,2017-09-30T04:28:02Z,2017-10-07T00:04:54Z,,0.0,Neutered,m,7.5,1,True,True,False,UK,7.0
89,Siberia-Tag,Siberia,Felis catus,2017-10-09T01:01:51Z,2017-10-16T00:06:01Z,True,3.0,Neutered,m,7.5,2,True,True,False,UK,8.0
90,Moscow-Tag,Moscow,Felis catus,2017-10-23T01:02:09Z,2017-10-30T02:21:44Z,True,0.5,Neutered,m,12.5,2,True,False,True,UK,1.0
91,Neva-Tag,Neva,Felis catus,2017-10-23T01:03:54Z,2017-10-31T00:09:51Z,False,0.0,Spayed,f,17.5,2,True,False,True,UK,4.0
92,Alfie-Tag,Alfie,Felis catus,2017-10-23T01:03:54Z,2017-10-30T10:20:43Z,True,3.0,Neutered,m,7.5,2,True,True,True,UK,3.0
93,Casper-Tag,Casper,Felis catus,2017-10-30T01:02:13Z,2017-11-06T05:08:45Z,True,0.5,Neutered,m,12.5,4,True,True,False,UK,6.0
94,Ginge-Tag,Ginge,Felis catus,2017-10-30T01:05:07Z,2017-11-07T19:55:30Z,True,17.5,Neutered,m,2.5,2,True,False,True,UK,3.0
95,Jasper-Tag,Jasper,Felis catus,2017-11-18T01:46:24Z,2017-11-25T01:11:30Z,True,12.5,Neutered,m,7.5,1,True,False,False,UK,2.0
96,Charlie3-Tag,Charlie3,Felis catus,2017-11-20T01:16:41Z,2017-11-26T00:38:20Z,True,7.5,,m,12.5,2,False,True,True,UK,5.0
97,Millie-Tag,Millie,Felis catus,2017-11-20T01:38:55Z,2017-11-27T00:09:29Z,True,7.5,Spayed,f,12.5,2,False,True,True,UK,3.0
98,SmokeyLongnose-Tag,SmokeyLongnose,Felis catus,2017-11-20T01:47:42Z,2017-11-27T02:53:41Z,True,0.5,Spayed,f,7.5,2,True,True,True,UK,9.0
99,CJ-Tag,CJ,Felis catus,2017-11-24T06:48:32Z,2017-11-29T03:44:48Z,True,0.5,Neutered,m,22.5,2,True,True,False,UK,5.0
100,Seb-Tag,Seb,Felis catus,2017-11-24T09:43:09Z,2017-11-30T00:52:55Z,True,3.0,Neutered,m,12.5,2,True,False,False,UK,3.0
